Requirement No,Description,Article No from Chat GPT ,Article Text,Category
R9,INFORM the data subjects about the transfer of their personal data to a third country or an international organisation,14(1)(f),"Where personal data have not been obtained from the data subject, the controller shall provide the data subject, where applicable, that the controller intends to transfer personal data to a recipient in a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means to obtain a copy of them or where they have been made available.",Notice
R39,PROVIDE the data subjects the purpose(s) of the processing of personal data ,14(2)(a),"the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;",Notice
R42,PROVIDE the data subjects the categories of personal data concerned ,14(2)(b),"the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party;",Notice
R20,PROVIDE the data subjects with the contact details of a data protection officer (DPO),14(2)(d) ,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal;",Notice
R22,PROVIDE the data subjects with the identity and contact details of a controller/controller's representative,14(2)(f),"The controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: from which source the personal data originate, and if applicable, whether it came from publicly accessible sources;",Notice
R23,PROVIDE the data subjects the information about the source of personal data if they are not directly provided by himself/herself,14(2)(g),"The controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",Notice
R1,ALLOW the data subjects to access and review their personal data ,15(1)(a),"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the purposes of the processing;",UserParticipation
R56,ALLOW the authorised stakeholders to access personal data as instructed by a controller,15(1)(c) ,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: the recipients or categories of recipient to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations;",UserParticipation
R12,INFORM the data subjects the reason(s) for not taking action on their request and the possibility of lodging a complaint,15(1)(f),"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: the right to lodge a complaint with a supervisory authority;",Complaint/Request
R34,ALLOW the data subjects to obtain and reuse their personal data for their own purposes across different services ,15(3),"The controller shall provide a copy of the personal data undergoing processing. For any further copies requested by the data subject, the controller may charge a reasonable fee based on administrative costs. Where the data subject makes the request by electronic means, and unless otherwise requested by the data subject, the information shall be provided in a commonly used electronic form.",UserParticipation
R44,ALLOW the data subjects to erase their personal data ,17(1)(a),"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:
the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed;",UserParticipation
R52,ERASE the personal data when it is no longer necessary for the specified purpose(s) ,17(1)(b),"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies: the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing;",UserParticipation
R7,ERASE the personal data when it has been unlawfully processed,17(1)(d),The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where the personal data have been unlawfully processed;,DataProcessing
R47,ERASE the personal data when a consent is withdrawn,17(2),"Where the controller has made the personal data public and is obliged pursuant to paragraph 1 to erase the personal data, the controller, taking account of available technology and the cost of implementation, shall take reasonable steps, including technical measures, to inform controllers which are processing the personal data that the data subject has requested the erasure by such controllers of any links to, or copy or replication of, those personal data.",UserParticipation
R4,ALLOW the data subjects to restrict the processing of their personal data,18(1)(b),The data subject shall have the right to obtain from the controller restriction of processing where the processing is unlawful and the data subject opposes the erasure of the personal data and requests the restriction of their use instead;,UserParticipation
R33,TRANSMIT the personal data to another controller when requested by the data subjects ,20(1),"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where:
the processing is based on consent pursuant to point (a) of Article 6(1) or point (a) of Article 9(2) or on a contract pursuant to point (b) of Article 6(1); and
the processing is carried out by automated means.",UserParticipation
R3,ALLOW the data subjects to object to the processing of their personal data,21(1),"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of Article 6(1), including profiling based on those provisions. 2The controller shall no longer process the personal data unless the controller demonstrates compelling legitimate grounds for the processing which override the interests, rights and freedoms of the data subject or for the establishment, exercise or defence of legal claims.",UserParticipation
R46,ERASE the personal data when the data subjects object to the processing,21(2),"Where personal data are processed for direct marketing purposes, the data subject shall have the right to object at any time to processing of personal data concerning him or her for such marketing, which includes profiling to the extent that it is related to such direct marketing.",UserParticipation
R10,INFORM the data subjects prior to the elimination of their restriction of processing,21(6),"Where personal data are processed for scientific or historical research purposes or statistical purposes pursuant to Article 89(1), the data subject, on grounds relating to his or her particular situation, shall have the right to object to processing of personal data concerning him or her, unless the processing is necessary for the performance of a task carried out for reasons of public interest.",UserParticipation
R18,PROVIDE the data subjects an option not to be subject to a decision solely based on automated processing ,22(1),"The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly significantly affects him or her.",UserParticipation
R21,PROVIDE the data subjects the existence and relevant information of automated decision-making including profiling,22(2),"is necessary for entering into, or performance of, a contract between the data subject and a data controller;
is authorised by Union or Member State law to which the controller is subject and which also lays down suitable measures to safeguard the data subject’s rights and freedoms and legitimate interests; or
is based on the data subject’s explicit consent.",UserParticipation
R13,MAINTAIN a record of personal data processing activities,30(1)(a),"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. 2That record shall contain all of the following information:
the name and contact details of the controller and, where applicable, the joint controller, the controller’s representative and the data protection officer;",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(1)(b),"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. 2That record shall contain all of the following information:the purposes of the processing;",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(1)(c),"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. 2That record shall contain all of the following information: a description of the categories of data subjects and of the categories of personal data;",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(1)(d),"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. 2That record shall contain all of the following information:the categories of recipients to whom the personal data have been or will be disclosed including recipients in third countries or international organisations;",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(1)(e),"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. 2That record shall contain all of the following information:where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of suitable safeguards;",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(1)(f),"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. 2That record shall contain all of the following information: where possible, the envisaged time limits for erasure of the different categories of data;",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(1)(g),"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. 2That record shall contain all of the following information: where possible, a general description of the technical and organisational security measures referred to in Article 32(1).",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(2)(a),"Each processor and, where applicable, the processor’s representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing:
the name and contact details of the processor or processors and of each controller on behalf of which the processor is acting, and, where applicable, of the controller’s or the processor’s representative, and the data protection officer;",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(2)(b),"Each processor and, where applicable, the processor’s representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing: the categories of processing carried out on behalf of each controller;",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(2)(c),"Each processor and, where applicable, the processor’s representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing:where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of suitable safeguards;",DataProcessing
R13,MAINTAIN a record of personal data processing activities,30(2)(d),"Each processor and, where applicable, the processor’s representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing: where possible, a general description of the technical and organisational security measures referred to in Article 32(1).",DataProcessing
R60,IMPLEMENT appropriate technical and organisational measures to protect personal data ,32(1)(a),"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:
the pseudonymisation and encryption of personal data;",Security
R61,IMPLEMENT the ability to ensure the ongoing security principles and resilience of processing systems and services ,32(1)(b) ,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: the ability to ensure the ongoing confidentiality, integrity, availability and resilience of processing systems and services;",Security
R62,IMPLEMENT the ability to restore availability and access to personal data in timely manner after physical or technical incidents ,32(1)(c) ,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: the ability to restore the availability and access to personal data in a timely manner in the event of a physical or technical incident;",Security
R57,IMPLEMENT a process for regularly assessing the effectiveness of the measures to ensure the security of processing ,32(1)(d),"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: a process for regularly testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the processing.",Security
R66,NOTIFY a supervisory authority the data breach ,33(1),"In the case of a personal data breach, the controller shall without undue delay and, where feasible, not later than 72 hours after having become aware of it, notify the personal data breach to the supervisory authority competent in accordance with Article 55, unless the personal data breach is unlikely to result in a risk to the rights and freedoms of natural persons. 2Where the notification to the supervisory authority is not made within 72 hours, it shall be accompanied by reasons for the delay.",Breach
R68,PROVIDE the data processor a channel to notify a data breach ,33(2),The processor shall notify the controller without undue delay after becoming aware of a personal data breach.,Security
R71,PROVIDE a supervisory authority the information about a data breach ,33(3)(a),"The notification describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned;",Breach
R71,PROVIDE a supervisory authority the information about a data breach ,33(3)(b),The notification communicate the name and contact details of the data protection officer or other contact point where more information can be obtained;,Breach
R71,PROVIDE a supervisory authority the information about a data breach ,33(3)(c),The notification describe the likely consequences of the personal data breach;,Breach
R71,PROVIDE a supervisory authority the information about a data breach ,33(3)(d),"The notification ddescribe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.",Breach
R69,DOCUMENT the details of data breach to a supervisory authority for compliance verification,33(5),"The controller shall document any personal data breaches, comprising the facts relating to the personal data breach, its effects and the remedial action taken. 2That documentation shall enable the supervisory authority to verify compliance with this Article.",Breach
R15,NOTIFY the data subjects the data breach which is likely to result in high risk ,34(1),"When the personal data breach is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall communicate the personal data breach to the data subject without undue delay.",Breach
R59,"IMPLEMENT appropriate technical and organisational measures to ensure the personal data is collected, processed, and stored as necessary ",5(1)(c),"Personal data shall be: adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’);",Security
R58,IMPLEMENT appropriate technical and organisational measures to comply with data protection principles ,5(1)(f),"Personal data shall be: processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).",Security
R17,SHOW the relevant stakeholders the consent given by the data subjects to process their personal data ,7(1),"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",UserParticipation
R32,SHOW the data subjects a consent form in an intelligible and easily accessible form using clear and plain language ,7(2),"If the data subject’s consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language. 2Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding.",UserParticipation
R6,ALLOW the data subjects to withdraw consent,7(3),"The data subject shall have the right to withdraw his or her consent at any time. 2The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal. 3Prior to giving consent, the data subject shall be informed thereof. 4It shall be as easy to withdraw as to give consent.",UserParticipation
R2,ALLOW the data subjects to lodge a complaint with a supervisory authority,77(1),"Without prejudice to any other administrative or judicial remedy, every data subject shall have the right to lodge a complaint with a supervisory authority, in particular in the Member State of his or her habitual residence, place of work or place of the alleged infringement if the data subject considers that the processing of personal data relating to him or her infringes this Regulation.",Complaint/Request
